Brand,Model,Variant,Engine Type,Horse Power,Torque,Max Speed,Mileage City,Fuel Tank Capacity,Mileage Highway,Displacement,Image,Cloudinary_Image
Suzuki,Hustler,Tough Wild,Hybrid,63 HP @ 6000 RPM (Combined),98 Nm @ 3000 RPM (Combined),140 KM/H,22 KM/L,27 L,24 KM/L,658 cc,https://cache4.pakwheels.com/system/car_generation_pictures/15126/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952265/car_database/suzuki_hustler_tough_wild_image.jpg
Tank,500,HEV,Hybrid,342 HP (Combined),648 Nm @ 1700 RPM (Combined),200 KM/H,12 KM/L,80 L,14 KM/L,1998 cc,https://cache2.pakwheels.com/system/car_generation_pictures/15376/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952266/car_database/tank_500_hev_image.jpg
Toyota,C-HR,1.2 Turbo,Hybrid,114 HP @ 5200 RPM (Combined),185 Nm @ 4000 RPM (Combined),180 KM/H,13 KM/L,43 L,19 KM/L,1197 cc,https://cache3.pakwheels.com/system/car_generation_pictures/7474/original/C-HR-%28cover-photo%29..jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952267/car_database/toyota_c-hr_1.2_turbo_image.jpg
Toyota,C-HR,G,Hybrid,97 HP @ 5200 RPM (Combined),142 Nm @ 3600 RPM (Combined),180 KM/H,26 KM/L,43 L,30 KM/L,1797 cc,https://cache3.pakwheels.com/system/car_generation_pictures/7474/original/C-HR-%28cover-photo%29..jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952269/car_database/toyota_c-hr_g_image.jpg
Toyota,C-HR,G Nero,Hybrid,97 HP @ 5200 RPM (Combined),142 Nm @ 3600 RPM (Combined),180 KM/H,30 KM/L,43 L,35 KM/L,1797 cc,https://cache3.pakwheels.com/system/car_generation_pictures/7474/original/C-HR-%28cover-photo%29..jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952270/car_database/toyota_c-hr_g_nero_image.jpg
Toyota,C-HR,G-LED,Hybrid,97 HP @ 5200 RPM (Combined),142 Nm @ 3600 RPM (Combined),180 KM/H,24 KM/L,43 L,30 KM/L,1797 cc,https://cache3.pakwheels.com/system/car_generation_pictures/7474/original/C-HR-%28cover-photo%29..jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952272/car_database/toyota_c-hr_g-led_image.jpg
Toyota,C-HR,Koba,Hybrid,113 HP @ 5600 RPM (Combined),185 Nm @ 4000 RPM (Combined),180 KM/H,27 KM/L,43 L,25 KM/L,1197 cc,https://cache3.pakwheels.com/system/car_generation_pictures/7474/original/C-HR-%28cover-photo%29..jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952273/car_database/toyota_c-hr_koba_image.jpg
Toyota,C-HR,S,Hybrid,96 HP @ 5200 RPM (Combined),142 Nm @ 3600 RPM (Combined),180 KM/H,24 KM/L,43 L,20 KM/L,1797 cc,https://cache3.pakwheels.com/system/car_generation_pictures/7474/original/C-HR-%28cover-photo%29..jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952274/car_database/toyota_c-hr_s_image.jpg
Toyota,C-HR,S-GR Package,Hybrid,98 HP @ 5200 RPM (Combined),142 Nm @ 3600 RPM (Combined),180 KM/H,24 KM/L,43 L,20 KM/L,1797 cc,https://cache3.pakwheels.com/system/car_generation_pictures/7474/original/C-HR-%28cover-photo%29..jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952276/car_database/toyota_c-hr_s-gr_package_image.jpg
Toyota,C-HR,S-LED,Hybrid,97 HP @ 5200 RPM (Combined),142 Nm @ 3600 RPM (Combined),180 KM/H,26 KM/L,43 L,30 KM/L,1797 cc,https://cache3.pakwheels.com/system/car_generation_pictures/7474/original/C-HR-%28cover-photo%29..jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952277/car_database/toyota_c-hr_s-led_image.jpg
BMW,5 Series,530e,Hybrid,252 HP @ 6500 RPM (Combined),290 Nm @ 4250 RPM (Combined),235 KM/H,19 KM/L,46 L,28 KM/L,1998 cc,https://cache4.pakwheels.com/system/car_generation_pictures/4671/original/BMW_5_series.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952279/car_database/bmw_5_series_530e_image.jpg
Nissan,Dayz,Highway Star G,Hybrid,64 HP @ 5600 RPM (Combined),100 Nm @ 4000 RPM (Combined),140 KM/H,18 KM/L,27 L,20 KM/L,659 cc,https://cache3.pakwheels.com/system/car_generation_pictures/7486/original/highwaystar-.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952280/car_database/nissan_dayz_highway_star_g_image.jpg
